"Year","Month","Year_Month","precip_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux","H_flux","pH_volwt","SpecCond_volwt"
1964,"01","1964-01",117.2,96.3,20.45,41.05,152.72,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.888
1964,"02","1964-02",49.5,71.26,17.12,30.84,43.17,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.888
1964,"03","1964-03",146.7,316.9,64.37,79.71,119.77,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.888
1964,"04","1964-04",110.1,581.88,99.04,60.75,99.51,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.888
1964,"05","1964-05",114.8,583.31,114.35,319.25,83.05,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.888
1964,"06","1964-06",58.6,339.88,58.6,158.22,35.16,35.16,-888.88,-888.88,-888.88,175.8,2461.2,451.22,222.68,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,32.9532,4.25,-888.888
1964,"07","1964-07",125.6,357.425,53.47,266.985,90.79,-888.88,-888.88,-888.88,-888.88,130.265,8431.6,1466.64,575.95,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,168.2505,3.87,-888.888
1964,"08","1964-08",154.5,349.925,34.02,187.085,80.42,-888.88,-888.88,-888.88,-888.88,203.585,3227.34,204.59,218.68,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,64.7097,4.38,-888.888
1964,"09","1964-09",38.5,229.53,140.6,83.02,81.89,-888.88,-888.88,-888.88,-888.88,150.035,2132.97,525.805,2422.13,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,185.1228,3.32,-888.888
1964,"10","1964-10",54,573.01,288.62,197.73,741.63,-888.88,-888.88,-888.88,-888.88,54,796.68,17.575,6915.45,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,46.8618,4.06,-888.888
1964,"11","1964-11",120.4,332.62,350.62,176.9,588.51,-888.88,-888.88,-888.88,-888.88,66.715,2748.98,459.49,4972.28,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,75.4123,4.2,-888.888
