Year,Stand,Age,Cluster,Azimuth,Species,Decay Class,Diam_Int,Diam_L,Diam_S,Avg Diam,Length
2004,C2,16,1,60,UNK,4,17.2,2.6,16.1,9.35,3.2
2004,C2,16,1,60,BE,5,12,14,8.5,11.25,3.7
2004,C2,16,1,60,SP,3,13,14,6,10,4.8
2004,C2,16,1,180,WB,4,8.8,28,13,20.5,6.1
2004,C2,16,1,180,SP,2,10.5,16,10.5,13.25,4.5
2004,C2,16,1,180,SP,2,8.7,9.4,8.7,9.05,5.9
2004,C2,16,1,300,BE,3,13.2,17.5,10.5,14,7
2004,C2,16,1,300,WB,3,13.8,15.3,9.2,12.25,9.3
2004,C2,16,1,300,SP,2,13,19.8,6.7,13.25,6.2
2004,C2,16,2,60,BE,3,14.4,14.4,11.8,13.1,6.5
2004,C2,16,2,60,STM,3,12.3,14.6,7.7,11.15,2.8
2004,C2,16,2,60,UNK,4,17,32,6.2,19.1,2.3
2004,C2,16,2,180,BE,3,15,15,7.2,11.1,6.4
2004,C2,16,2,300,HEM,3,11,14.4,4.6,9.5,9.7
2004,C2,16,3,60,YB,3,11.6,19,8,13.5,14.2
2004,C2,16,3,180,RM,3,10.1,24.2,10.1,17.15,8.4
2004,C2,16,3,180,HEM,3,39.5,49.9,4.7,27.3,26.2
2004,C2,16,3,300,HEM,3,18.6,17.2,18.6,17.9,3.5
2004,C2,16,3,300,HEM,3,13.2,12.8,8.4,10.6,2.9
2004,C2,16,3,300,UNK,3,12.8,17.4,4,10.7,2.6
2004,CC2,15,AB,360,WB,4,10.3,14,16,15,1.5
2004,CC2,15,AB,360,WB,3,9.4,17,9.2,13.1,2.4
2004,CC2,15,AB,360,WB,3,7.8,7.8,4.7,6.25,2.1
2004,CC2,15,AB,360,WB,3,9.9,13,3.9,8.45,4
2004,CC2,15,AB,360,WB,3,9,9,3.3,6.15,3.7
2004,CC2,15,BC,90,NONE,0,0,0,0,0,0
2004,CC2,15,CD,180,UNK,4,13.8,16,12,14,2.6
2004,CC2,15,CD,180,UNK,4,17,9,10,9.5,2.1
2004,CC2,15,CD,180,UNK,5,17,19,9,14,2.5
2004,CC2,15,DA,270,NONE,0,0,0,0,0,0
2004,CC2,15,EF,45,HEM,3,14,18.5,12,15.25,3.6
2004,CC2,15,EF,45,UNK,4,11,14.8,14,14.4,2.6
2004,CC2,15,GH,315,HEM,3,29.5,33.3,10.4,21.85,3.7
2004,H1,65,AB,360,ASP,3,11.3,12.8,6.2,9.5,16.2
2004,H1,65,BC,270,SM,3,10.2,10.1,7.6,8.85,6.1
2004,H1,65,CD,180,SM,1,12.3,12.8,0,6.4,14.8
2004,H1,65,DA,90,SM,2,8.5,24,0,12,16.6
2004,H1,65,EF,315,WB,2,7.9,8.2,7.4,7.8,1.8
2004,H1,65,GH,45,NONE,0,0,0,0,0,0
2004,H1,65,,,WB,3,12.7,12.4,12.1,12.25,1.7
2004,H1,65,,,WB,3,11.2,11,11.2,11.1,1.8
2004,H1,65,,,SM,3,16.6,16.6,6.9,11.75,7
2004,H1,65,,,WB,3,11.3,11.3,4.4,7.85,1.8
2004,H1,65,,,SM,1,11.2,14.9,0,7.45,16.9
2004,H1,65,,,RM,2,13,13,0,6.5,9.6
2004,H1,65,,,SM,3,11.5,11.5,0,5.75,11.3
2004,H2,129,1,120,NONE,0,0,0,0,0,0
2004,H2,129,1,240,NONE,0,0,0,0,0,0
